Cites,Authors,Title,Year,Source,Publisher
50,"AJ Ernest, Y Tawk, J Costantine…",A bottom fed deployable conical log spiral antenna design for CubeSat,2014,IEEE Transactions on …,ieeexplore.ieee.org
50,"NA Gatsonis, Y Lu, J Blandino, MA Demetriou…",Micropulsed plasma thrusters for attitude control of a low-earth-orbiting cubesat,2016,Journal of Spacecraft …,arc.aiaa.org
49,"A Scholz, JN Juang",Toward open source CubeSat design,2015,Acta astronautica,Elsevier
49,"MR Mughal, J Praks, R Vainio, P Janhunen, J Envall…","Aalto-1, multi-payload CubeSat: In-orbit results and lessons learned",2021,Acta Astronautica,Elsevier
49,"M Knapp, S Seager, BO Demory…",Demonstrating high-precision photometry with a CubeSat: ASTERIA observations of 55 Cancri e,2020,The astronomical …,iopscience.iop.org
48,"K Ramahatla, M Mosalaosi, A Yahya, B Basutli",Multiband reconfigurable antennas for 5G wireless and CubeSat applications: A review,2022,IEEE Access,ieeexplore.ieee.org
48,"A Cervone, B Zandbergen, DC Guerrieri…",Green micro-resistojet research at Delft University of Technology: new options for Cubesat propulsion,2017,CEAS Space …,Springer
48,"A Boschetto, L Bottini, M Eugeni, V Cardini, GG Nisi…",Selective laser melting of a 1u Cubesat structure. Design for additive manufacturing and assembly,2019,Acta Astronautica,Elsevier
48,"MG Jenkins, D Krejci, P Lozano",CubeSat constellation management using ionic liquid electrospray propulsion,2018,Acta Astronautica,Elsevier
47,"A Garzón, YA Villanueva",Thermal analysis of satellite libertad 2: a guide to cubesat temperature prediction,2018,Journal of Aerospace Technology and …,SciELO Brasil
47,"P Kaaret, A Zajczyk, DM LaRocca…",HaloSat: a CubeSat to study the hot galactic halo,2019,The Astrophysical …,iopscience.iop.org
46,"R Sutherland, I Kolmanovsky…",Attitude control of a 2U cubesat by magnetic and air drag torques,2018,IEEE Transactions on …,ieeexplore.ieee.org
46,"A Cervone, F Topputo, S Speretta, A Menicucci…",LUMIO: A CubeSat for observing and characterizing micro-meteoroid impacts on the lunar far side,2022,Acta Astronautica,Elsevier
45,"M Hwang, G Kim, S Kim…",Origami-Inspired Radiation Pattern and Shape Reconfigurable Dipole Array Antenna at C-Band for CubeSat Applications,2020,IEEE transactions on …,ieeexplore.ieee.org
45,"N Ivliev, V Evdokimova, V Podlipnov, M Petrov…",First earth-imaging CubeSat with harmonic diffractive lens,2022,Remote Sensing,mdpi.com
44,"S Ciaralli, M Coletti, SB Gabriel",Performance and lifetime testing of a pulsed plasma thruster for Cubesat applications,2015,Aerospace Science and Technology,Elsevier
44,"AF Cannistra, DE Shean, NC Cristea",High-resolution CubeSat imagery and machine learning for detailed snow-covered area,2021,Remote Sensing of Environment,Elsevier
44,"BR Johnson, CJ Vourch, TD Drysdale…",A CubeSat for calibrating ground-based and sub-orbital millimeter-wave polarimeters (CalSat),2015,Journal of …,World Scientific
42,N Chahat,CubeSat antenna design,2021,,books.google.com
42,"JP Mason, B Lamprecht, TN Woods…",CubeSat on-orbit temperature comparison to thermal-balance-tuned-model predictions,2018,Journal of Thermophysics …,arc.aiaa.org
41,"J Shields, C Pong, K Lo, L Jones, S Mohan…",Characterization of CubeSat reaction wheel assemblies,2017,Journal of Small …,jossonline.com
41,"S Wu, W Chen, C Cao, C Zhang, Z Mu",A multiple-CubeSat constellation for integrated earth observation and marine/air traffic monitoring,2021,Advances in Space Research,Elsevier
39,"CE Gonzalez, CJ Rojas, A Bergel, MA Diaz",An architecture-tracking approach to evaluate a modular and extensible flight software for cubesat nanosatellites,2019,IEEE Access,ieeexplore.ieee.org
38,"MAA Madni, S Iranmanesh, R Raad",DTN and Non-DTN routing protocols for inter-cubesat communications: A comprehensive survey,2020,Electronics,mdpi.com
37,"C Cappelletti, D Robson",CubeSat missions and applications,2021,Cubesat Handbook,Elsevier
37,"BK Malphrus, A Freeman, R Staehle, AT Klesh…",Interplanetary cubesat missions,2021,Cubesat …,Elsevier
37,"A Maskey, M Cho",CubeSatNet: Ultralight Convolutional Neural Network designed for on-orbit binary image classification on a 1U CubeSat,2020,Engineering Applications of Artificial Intelligence,Elsevier
37,"AT Johnson, M Shumko, B Griffith…","The FIREBIRD-II CubeSat mission: Focused investigations of relativistic electron burst intensity, range, and dynamics",2020,Review of Scientific …,pubs.aip.org
37,"A Kramer, P Bangert, K Schilling",UWE-4: First electric propulsion on a 1U CubeSat—In-Orbit experiments and characterization,2020,Aerospace,mdpi.com
36,"AR Persico, P Kirkland, C Clemente…",CubeSat-based passive bistatic radar for space situational awareness: A feasibility study,2018,… on Aerospace and …,ieeexplore.ieee.org
36,"J Bouwmeester, A Menicucci, EKA Gill",Improving CubeSat reliability: Subsystem redundancy or improved testing?,2022,Reliability Engineering &System …,Elsevier
36,"D Krejci, MG Jenkins, P Lozano",Staging of electric propulsion systems: Enabling an interplanetary Cubesat,2019,Acta Astronautica,Elsevier
36,"JP Mason, TN Woods, PC Chamberlin, A Jones…",MinXSS-2 CubeSat mission overview: Improvements from the successful MinXSS-1 mission,2020,Advances in Space …,Elsevier
36,"F Tubbal, R Raad, KW Chin, L Matekovits…",A high gain S-band slot antenna with MSS for CubeSat,2019,Annals of …,Springer
34,"SW Jackson, R Marshall",Conceptual design of an air-breathing electric thruster for CubeSat applications,2018,Journal of Spacecraft and Rockets,arc.aiaa.org
33,"J Jiang, K Johansen, YH Tu…","Multi-sensor and multi-platform consistency and interoperability between UAV, Planet CubeSat, Sentinel-2, and Landsat reflectance data",2022,GIScience &Remote …,Taylor &Francis
32,"M Samsuzzaman, MT Islam, S Kibria, M Cho",BIRDS-1 CubeSat constellation using compact UHF patch antenna,2018,IEEE Access,ieeexplore.ieee.org
31,"S Spangelo, B Longmier",Optimization of CubeSat system-level design and propulsion systems for earth-escape missions,2015,Journal of Spacecraft and Rockets,arc.aiaa.org
30,"S Speretta, A Cervone, P Sundaramoorthy…",LUMIO: an autonomous CubeSat for lunar exploration,2019,Space operations …,Springer
30,"WH Swartz, SR Lorentz, SJ Papadakis, PM Huang…",RAVAN: CubeSat demonstration for multi-point Earth radiation budget measurements,2019,Remote sensing,mdpi.com
29,"D Murphy, A Ulyanov, S McBreen, M Doyle…",A compact instrument for gamma-ray burst detection on a Cubesat platform I: Design drivers and expected performance,2021,Experimental …,Springer
29,"G Capovilla, E Cestino, LM Reyneri, G Romeo",Modular multifunctional composite structure for CubeSat applications: Preliminary design and structural analysis,2020,Aerospace,mdpi.com
28,"JP Monteiro, RM Rocha, A Silva, R Afonso, N Ramos",Integration and verification approach of ISTSat-1 CubeSat,2019,Aerospace,mdpi.com
27,"Y Duann, LC Chang, CK Chao, YC Chiu…",IDEASSat: A 3U CubeSat mission for ionospheric science,2020,Advances in Space …,Elsevier
26,"MH Azami, NC Orger, VH Schulz, T Oshiro, M Cho",Earth observation mission of a 6U CubeSat with a 5-meter resolution for wildfire image classification using convolution neural network approach,2022,Remote Sensing,mdpi.com
26,"JX Wen, XT Zheng, JD Yu, YP Che, DX Yang…",Compact CubeSat Gamma-ray detector for GRID mission,2021,Nuclear Science and …,Springer
26,"RA Austin, N Mahadevan, BD Sierawski…",A CubeSat-payload radiation-reliability assurance case using goal structuring notation,2017,2017 Annual …,ieeexplore.ieee.org
26,"A Capannolo, G Zanotti, M Lavagna, EM Epifani…",Challenges in LICIA Cubesat trajectory design to support DART mission science,2021,Acta Astronautica,Elsevier
25,"I Belokonov, I Timbai",The selection of the design parameters of the aerodynamically stabilized nanosatellite of the CubeSat standard,2015,Procedia Engineering,Elsevier
24,"JT King, J Kolbeck, JS Kang, M Sanders, M Keidar",Performance analysis of nano-sat scale μCAT electric propulsion for 3U CubeSat attitude control,2021,Acta Astronautica,Elsevier
23,"JP Park, SY Park, YB Song, GN Kim…",Cubesat developmentfor canyval-X mission,2016,14th International …,yonsei.elsevierpure.com
23,"HH Abdullah, A Elboushi, AE Gohar…",An improved S-band CubeSat communication subsystem design and implementation,2021,IEEE Access,ieeexplore.ieee.org
23,"X Li, J Wang, G Goussetis…",Circularly polarized high gain leaky-wave antenna for CubeSat communication,2022,IEEE Transactions on …,ieeexplore.ieee.org
23,A Volkan,Electrically small printed antenna for applications on CubeSat and nano‐satellite platforms,2015,Microwave and Optical Technology Letters,Wiley Online Library
23,"D Murphy, A Ulyanov, S McBreen, J Mangan…","A compact instrument for gamma-ray burst detection on a Cubesat platform II: Detailed design, assembly and validation",2022,Experimental …,Springer
23,"S Walsh, D Murphy, M Doyle, J Reilly, J Thompson…",Development of the EIRSAT-1 CubeSat through functional verification of the engineering qualification model,2021,Aerospace,mdpi.com
23,"M Meftah, L Damé, P Keckhut, S Bekki, A Sarkissian…","UVSQ-SAT, a pathfinder cubesat mission for observing essential climate variables",2019,Remote Sensing,mdpi.com
23,"S Piedra, M Torres, S Ledesma",Thermal numerical analysis of the primary composite structure of a CubeSat,2019,Aerospace,mdpi.com
22,M Bulut,"Thermal design, analysis, and testing of the first Turkish 3U communication CubeSat in low earth orbit",2021,Journal of Thermal Analysis and Calorimetry,Springer
22,"G Lucchetta, M Ackermann, D Berge…",Introducing the MeVCube concept: a CubeSat for MeV observations,2022,Journal of cosmology …,iopscience.iop.org
21,"Z Zhang, G Xu, J Song",CubeSat cloud detection based on JPEG2000 compression and deep learning,2018,Advances in Mechanical …,journals.sagepub.com
21,"E Morsch Filho, LO Seman…",Simulation of a CubeSat with internal heat transfer using Finite Volume Method,2021,Applied Thermal …,Elsevier
21,NM Suhadis,Statistical overview of CubeSat mission,2020,Proceedings of International Conference of Aerospace …,Springer
20,MC Mahdi,Attitude stabilization for CubeSat: concepts and technology,2018,,books.google.com
20,"CA Maldonado, J Deming, BN Mosley…",The experiment for space radiation analysis: A 12u cubesat to explore the earth's radiation belts,2022,2022 IEEE …,ieeexplore.ieee.org
20,"C Pirat, P Ribes-Pleguezuelo, F Keller…",Toward the autonomous assembly of large telescopes using cubesat rendezvous and docking,2022,Journal of Spacecraft …,arc.aiaa.org
19,"S Kim, T Yamauchi, H Masui, M Cho",Birds bus: A standard cubesat bus for an annual educational satellite project,2021,JoSS,jossonline.com
19,"M Niroumand-Jadidi, CJ Legleiter, F Bovolo",Bathymetry retrieval from CubeSat image sequences with short time lags,2022,International Journal of …,Elsevier
18,"C Underwood, A Viquerat…",The InflateSail CubeSat mission: The first European demonstration of drag-sail de-orbiting,2017,… and CubeSat …,research-information.bris.ac.uk
18,"A Solís-Santomé, G Urriolagoitia-Sosa…",Conceptual design and finite element method validation of a new type of self-locking hinge for deployable CubeSat solar panels,2019,Advances in …,journals.sagepub.com
18,"D González-Bárcena, L Peinado-Pérez…",TASEC-Lab: A COTS-based CubeSat-like university experiment for characterizing the convective heat transfer in stratospheric balloon missions,2022,Acta Astronautica,Elsevier
18,"M Meftah, T Boutéraon, C Dufour, A Hauchecorne…",The UVSQ-SAT/INSPIRESat-5 CubeSat mission: First in-orbit measurements of the Earth's outgoing radiation,2021,Remote Sensing,mdpi.com
17,"D Calabria, I Trozzi, E Lazzarini, A Pace…",AstroBio-CubeSat: A lab-in-space for chemiluminescence-based astrobiology experiments,2023,Biosensors and …,Elsevier
17,"JW Cheong, BJ Southwell, W Andrew…","A robust framework for low-cost Cubesat scientific missions: In-orbit recovery, results and lessons learned from UNSW-EC0",2020,Space Science …,Springer
17,"WM Mahmoud, D Elfiky, SM Robaa…",Effect of atomic oxygen on LEO CubeSat,2021,International Journal of …,Springer
16,"M Meftah, F Boust, P Keckhut, A Sarkissian…","Inspire-sat 7, a second cubesat to measure the earth's energy budget and to probe the ionosphere",2022,Remote Sensing,mdpi.com
16,"YV Goncharenko, W Berg, SC Reising…",Design and analysis of cubesat microwave radiometer constellations to observe temporal variability of the atmosphere,2021,IEEE Journal of …,ieeexplore.ieee.org
15,"C Radhakrishnan, V Chandrasekar…",Rainfall estimation from TEMPEST-D CubeSat observations: A machine-learning approach,2022,IEEE Journal of …,ieeexplore.ieee.org
13,"EJ Wyatt, D Abraham, M Johnston…",Emerging techniques for deep space cubesat operations,2016,… CubeSat Workshop,icubesat.org
13,"L Zea, SR Santa Maria, AJ Ricco",CubeSats for microbiology and astrobiology research,2021,Cubesat Handbook,Elsevier
13,"F Cuervo, A Martín‐Polegre…",Preparation of a CubeSat LEO radio wave propagation campaign at Q and W bands,2022,… Journal of Satellite …,Wiley Online Library
13,"KB Gamble, EG Lightsey",CubeSat mission design software tool for risk estimating relationships,2014,Acta Astronautica,Elsevier
12,"G Fernandes, M Santos, V Silva…",Thermal tests for cubesat in Brazil: Lessons learned and the challenges for the future,2016,67th International …,researchgate.net
12,"H Hakima, MR Emami",Deorbiter CubeSat system engineering,2020,The Journal of the Astronautical Sciences,Springer
12,"CA Maldonado, J Deming, BN Mosley…",Development of the ESRA CubeSat Mission to GTO,2023,2023 IEEE …,ieeexplore.ieee.org
12,"IA Lomaka, NA Elisov, EA Boltov, SV Shafran",A novel design of CubeSat deployment system for transformable structures,2022,Acta Astronautica,Elsevier
11,"D Kaslow, A Levi, PT Cahill, B Ayres…",Mission engineering and the cubesat system reference model,2021,2021 IEEE …,ieeexplore.ieee.org
11,"G Muntoni, G Montisci, A Melis, MB Lodi…",A curved 3D-printed S-band patch antenna for plastic CubeSat,2022,IEEE Open Journal …,ieeexplore.ieee.org
11,"A Ampatzoglou, S Tsantzalis…",3D printed frame for cubesat applications for low-earth orbit mission,2017,… of Computer Aided …,inderscienceonline.com
11,"EE Areda, JR Cordova-Alarcon, H Masui, M Cho",Development of innovative CubeSat platform for mass production,2022,Applied Sciences,mdpi.com
11,"J Klein, J Hawkins, D Thorsen",Improving CubeSat downlink capacity with active phased array antennas,2014,2014 IEEE Aerospace …,ieeexplore.ieee.org
10,"A Almazrouei, A Khan, A Almesmari, A Albuainain…",A complete mission concept design and analysis of the student-led cubesat project: Light-1,2021,Aerospace,mdpi.com
10,"H Hakima, MR Emami",Deorbiter CubeSat mission design,2021,Advances in Space Research,Elsevier
10,"J Dalbins, K Allaje, I Iakubivskyi…",ESTCube-2: The experience of developing a highly integrated CubeSat platform,2022,2022 IEEE …,ieeexplore.ieee.org
10,"MF Palos, P Janhunen, P Toivanen, M Tajmar…","Electric sail mission expeditor, ESME: Software architecture and initial ESTCube lunar cubesat E-sail experiment design",2023,Aerospace,mdpi.com
9,"T Tomura, H Sakamoto, Y Takeda, G Nakayama…",Two-Layer Pop-Up Origami Deployable Membrance Reflectarray Antenna Stowed in 1U CubeSat,2022,,digitalcommons.usu.edu
9,N Zosimovych,1u cubesat platform design,2020,International Journal of Aerospace Sciences,researchgate.net
9,"N Chahat, E Decrossas…",Mars cube one,2020,CubeSat Antenna …,Wiley Online Library
8,"A Babuscia, J Sauder, A Chandra…",Inflatable Antenna for CubeSat,2020,CubeSat Antenna …,Wiley Online Library
8,"VM Chau, HB Vo",Structural dynamics analysis of 3-U CubeSat,2019,Applied Mechanics and Materials,Trans Tech Publ
8,"MA Musallam, A Rathinam, V Gaudillière…",CubeSat-CDT: a cross-domain dataset for 6-DoF trajectory estimation of a symmetric spacecraft,2022,… on Computer Vision,Springer
7,"L Qiao, M Efatmaneshnik…",A combinatorial approach to tradespace exploration of complex systems: A cubesat case study,2017,INCOSE International …,Wiley Online Library
6,SR Kelly,A reference architecture for rapid cubesat development,2021,,scholar.afit.edu
6,"D Wayne, D Obukhov, K Book, M Lovern, P Reed…",A Large Aperture Modulated Retroreflector (MRR) for CubeSat Optical Communication,2014,,digitalcommons.usu.edu
6,"A Ghosh, B Jagannatha, S Noel, G Earle…",Increasing cubesat form factor to 6u: the lower atmosphere/ionosphere coupling experiment,2014,… Congress 2014: Our …,experts.illinois.edu
6,"C Francisco, R Henriques, S Barbosa",A Review on CubeSat Missions for Ionospheric Science,2023,Aerospace,mdpi.com
6,"RM Sharma, R Kawari, S Bhandari, S Panta…",Simulation of CubeSat Detumbling Using B-Dot Controller,2021,… on Sustainable Expert …,Springer
6,"Y Nurgizat, AA Ayazbay, D Galayko, G Balbayev…",Low-cost orientation determination system for CubeSat based solely on solar and magnetic sensors,2023,Sensors,mdpi.com
5,"D Wayne, D Obukhov, A Phipps, M Tran, K Book…",Design and testing of a cubesat-sized retroreflector payload,2015,,digitalcommons.usu.edu
5,R Baktur,"CubeSat link budget: Elements, calculations, and examples",2022,IEEE Antennas and Propagation Magazine,ieeexplore.ieee.org
5,"JM Gregory, JS Kang, R Bruninga…",Applying a Model-Based Approach to Develop a Standardized Template for CubeSat-class Satellites,2020,2020 IEEE …,ieeexplore.ieee.org
5,A Golkar,Distributed cubesat mission concepts,2021,Cubesat Handbook,Elsevier
5,"VGG Buendía, SK Podilchak, S Liberto…",Compact and planar end-fire antenna for PicoSat and CubeSat platforms to support deployable systems,2022,IEEE Open Journal …,ieeexplore.ieee.org
5,"IF Acero, J Diaz, R Hurtado-Velasco…",A Method for Validating CubeSat Satellite EPS Through Power Budget Analysis Aligned With Mission Requirements,2023,IEEE …,ieeexplore.ieee.org
5,"M Berthet, Q Verspieren, G Coral…",Student-led policy and technical capacity building program: the road to Cambodia's first CubeSat,2020,Proceedings of the …,researchgate.net
4,S Kuntanapreeda,Cubesat as a tool for hands-on engineering education and research,2019,Applied Science and Engineering Progress,ph02.tci-thaijo.org
4,"G Nakayama, M Moritani, T Tomura, H Sakamoto…",Space demonstration of two-layer pop-up origami deployable membrane reflectarray antenna by 3U CubeSat OrigamiSat-2,2023,,digitalcommons.usu.edu
4,"AP Aboaf, ES Harrod, M Zola, A Prakash, SE Palo…",A methodology for successful university graduate cubesat programs,2020,,digitalcommons.usu.edu
4,"A Freeman, BK Malphrus, R Staehle",CubeSat science instruments,2021,Cubesat Handbook,Elsevier
4,C Cappelletti,"Structure, new materials, and new manufacturing technologies",2021,Cubesat Handbook,Elsevier
4,"F Graziani, S Trofimov, S Battistini",Applied astrodynamics,2021,Cubesat Handbook,Elsevier
4,"CA Perdomo, JR Camargo, AC Cabezas",On Board Computer Module for Cubesat Compatible with QB50,2018,Modern Applied Science,academia.edu
4,J Straub,Consideration of the versatility of the Open Prototype for Educational NanoSats CubeSat design,2016,2016 IEEE International Conference on Electro …,ieeexplore.ieee.org
3,J Vanreusel,"Launching a CubeSat: Rules, laws, and best practice",2021,Cubesat Handbook,Elsevier
3,AG Cappiello,"Design, implementation, and analysis of electrical system architecture for cubesat to ground communications",2019,,search.proquest.com
3,"H Sakamoto, T Tomura, A Ochi, K Nagai…",Space demonstration of two-layer deployable membrane reflectarray antenna with popup book mechanism,2024,AIAA SCITECH 2024 …,arc.aiaa.org
3,"I Benson, A Kaplan, J Flynn, S Katz",Fault-Tolerant and Deterministic Flight-Software System For a High Performance CubeSat,2017,International Journal of Grid and …,igi-global.com
2,"PF Bloser, D Murphy, F Fiore, J Perkins",Cubesats for gamma-ray astronomy [book chapter],2022,,osti.gov
2,"MR Aswin, A Pavithran, Y Mangrole, B Ravi",Structural and Thermal Analysis of a CubeSat,2022,Conference of Innovative …,Springer
2,"GC Kirkby, B Tester, M Angling…",Strain-rigidised wideband conical helix antenna for cubesat deployment,2015,… 2015: Space-The …,research.birmingham.ac.uk
2,R Baktur,Antenna Design for CubeSats,2021,,books.google.com
2,"K Chiu, S Marquez, S Asundi",Model Based Systems Engineering with a Docs-as-Code Approach for the SeaLion CubeSat Project,2023,Systems,mdpi.com
2,"JM Gregory, RM Sega, TH Bradley, JS Kang",A Tailored Systems Engineering Process for Developing Student-Built CubeSat Class Satellites,2024,IEEE Access,ieeexplore.ieee.org
1,"F Branz, C Cappelletti, AJ Ricco, J Hines","Next Generation CubeSats and SmallSats: Enabling Technologies, Missions, and Markets",2023,,books.google.com
1,MBV Guedes,Cubesat Structural and Thermal Analysis Methodology ISTsat-1 Design,2019,,"Thesis, Lisboa"
1,A Golkar,Overview of the New Space CubeSat market,2023,Next Generation CubeSats and SmallSats,Elsevier
1,"A Cuttin, G Buttazzoni, R Vescovo, L Tenze","Radiation pattern synthesis of a high gain, circularly polarized rectangular antenna array in the Ka band for CubeSat class satellites",2015,… Missions And Cubesat …,arts.units.it
1,"D Paglialunga, L Iannascoli, D Calabria, I Trozzi…",AstroBio CubeSat: On-Ground Validation of Lab-on-Chip Based Astrobiology Experiments,2021,… Annual Conference on …,Springer
1,"GKVS Shravanth, PG Karthikeya, J Chattopadhyay",Design and Development of a Low Cost Ground System for CubeSat,,academia.edu,
1,"IV Belokonov, IA Timbai, TIA Belokonov IV",Selection of design parameters of aerodynamically stabilized nanosatellite standard CubeSat,2014,,core.ac.uk
0,C Montilla Garcia,"Study, modeling and analysis of the structure of a CubeSat",2024,,upcommons.upc.edu
0,"RG Chávez-Moreno, JA Ferrer-Pérez…",K'oto Project a Cubesat Design: Methodology and Development,2023,Space Fostering Latin …,Springer
