task,model,domain,reference_combo,n_runs,cells_per_matrix,total_cells,unsure_count,unsure_pct,experiment,status
i,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R2_R3,5,36,180,150,83.3,20250216-143918,reported
i,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R3,5,36,180,150,83.3,20250216-143918,reported
i,gpt-4o-2024-11-20,CubeSat,llm_refs_baseline,5,36,180,30,16.7,20250216-062747,reported
i,llama3.3:70b-8k,CubeSat,llm_rag_graph_refs_R1_R2,,,,,,,no_archived_runs
i,llama3.3:70b-8k,CubeSat,llm_rag_graph_refs_R2_R3,,,,,,,no_archived_runs
i,llama3.3:70b-8k,CubeSat,llm_rag_refs_R1,5,36,180,0,0.0,20250216-151929,reported
i,llama3.3:70b-8k,CubeSat,llm_rag_refs_R1_R2,5,36,180,0,0.0,20250216-151929,reported
i,llama3.3:70b-8k,CubeSat,llm_rag_refs_R1_R2_R3,5,36,180,0,0.0,20250216-151929,reported
i,llama3.3:70b-8k,CubeSat,llm_rag_refs_R1_R3,5,36,180,0,0.0,20250216-151929,reported
i,llama3.3:70b-8k,CubeSat,llm_rag_refs_R2,5,36,180,0,0.0,20250216-151929,reported
i,llama3.3:70b-8k,CubeSat,llm_rag_refs_R2_R3,5,36,180,0,0.0,20250216-151929,reported
i,llama3.3:70b-8k,CubeSat,llm_rag_refs_R3,5,36,180,0,0.0,20250216-151929,reported
i,llama3.3:70b-8k,CubeSat,llm_refs_baseline,5,36,180,0,0.0,20250216-063336,reported
i,mixtral:8x22b-6k,CubeSat,llm_rag_graph_refs_R1_R2,,,,,,,no_archived_runs
i,mixtral:8x22b-6k,CubeSat,llm_rag_graph_refs_R2_R3,,,,,,,no_archived_runs
i,mixtral:8x22b_6k,CubeSat,llm_rag_refs_R1,5,36,180,0,0.0,20250216-144736,reported
i,mixtral:8x22b_6k,CubeSat,llm_rag_refs_R1_R2,5,36,180,0,0.0,20250216-144736,reported
i,mixtral:8x22b_6k,CubeSat,llm_rag_refs_R1_R2_R3,5,36,180,0,0.0,20250216-144736,reported
i,mixtral:8x22b_6k,CubeSat,llm_rag_refs_R1_R3,5,36,180,0,0.0,20250216-144736,reported
i,mixtral:8x22b_6k,CubeSat,llm_rag_refs_R2,5,36,180,0,0.0,20250216-144736,reported
i,mixtral:8x22b_6k,CubeSat,llm_rag_refs_R2_R3,5,36,180,0,0.0,20250216-144736,reported
i,mixtral:8x22b_6k,CubeSat,llm_rag_refs_R3,5,36,180,0,0.0,20250216-144736,reported
i,mixtral:8x22b_6k,CubeSat,llm_refs_baseline,5,36,180,0,0.0,20250216-062916,reported
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_graph_refs_R1_R2,,,,,,,no_archived_runs
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_graph_refs_R2_R3,,,,,,,no_archived_runs
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R1,5,49,245,0,0.0,20250214-205314,alternate_retriever
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R1,5,49,245,49,20.0,20250214-233816,reported
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R1_R2,5,49,245,49,20.0,20250214-205314,alternate_retriever
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R1_R2,5,49,245,49,20.0,20250214-233816,reported
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R1_R2_R3,5,49,245,0,0.0,20250214-205314,alternate_retriever
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R1_R2_R3,5,49,245,49,20.0,20250214-233816,reported
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R1_R3,5,49,245,0,0.0,20250214-205314,alternate_retriever
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R1_R3,5,49,245,196,80.0,20250214-233816,reported
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R2,5,49,245,52,21.2,20250214-205314,alternate_retriever
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R2,5,49,245,49,20.0,20250214-233816,reported
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R2_R3,5,49,245,52,21.2,20250214-205314,alternate_retriever
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R2_R3,5,49,245,98,40.0,20250214-233816,reported
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R3,5,49,245,49,20.0,20250214-205314,alternate_retriever
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R3,5,49,245,147,60.0,20250214-233816,reported
i,deepseek-r1:14b-5k,powerscrewdriver,llm_refs_baseline,5,49,245,0,0.0,20250214-190102,reported
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_graph_refs_R1_R2,,,,,,,no_archived_runs
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_graph_refs_R2_R3,,,,,,,no_archived_runs
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R1,5,49,245,0,0.0,20250214-192713,alternate_retriever
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R1,5,49,245,0,0.0,20250214-222118,reported
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R1_R2,5,49,245,0,0.0,20250214-192713,alternate_retriever
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R1_R2,5,49,245,0,0.0,20250214-222118,reported
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R1_R2_R3,5,49,245,0,0.0,20250214-192713,alternate_retriever
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R1_R2_R3,5,49,245,0,0.0,20250214-222118,reported
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R1_R3,5,49,245,0,0.0,20250214-192713,alternate_retriever
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R1_R3,5,49,245,0,0.0,20250214-222118,reported
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R2,5,49,245,0,0.0,20250214-192713,alternate_retriever
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R2,5,49,245,0,0.0,20250214-222118,reported
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R2_R3,5,49,245,0,0.0,20250214-192713,alternate_retriever
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R2_R3,5,49,245,0,0.0,20250214-222118,reported
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R3,5,49,245,0,0.0,20250214-192713,alternate_retriever
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R3,5,49,245,0,0.0,20250214-222118,reported
i,gpt-4-turbo-preview,powerscrewdriver,llm_refs_baseline,5,49,245,0,0.0,20250214-184834,reported
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R1,5,49,245,210,85.7,20250214-193756,alternate_retriever
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R1,5,49,245,210,85.7,20250214-223218,reported
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R1_R2,5,49,245,210,85.7,20250214-193756,alternate_retriever
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R1_R2,5,49,245,210,85.7,20250214-223218,reported
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R1_R2_R3,5,49,245,210,85.7,20250214-193756,alternate_retriever
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R1_R2_R3,5,49,245,210,85.7,20250214-223218,reported
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R1_R3,5,49,245,210,85.7,20250214-193756,alternate_retriever
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R1_R3,5,49,245,210,85.7,20250214-223218,reported
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R2,5,49,245,210,85.7,20250214-193756,alternate_retriever
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R2,5,49,245,210,85.7,20250214-223218,reported
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R2_R3,5,49,245,210,85.7,20250214-193756,alternate_retriever
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R2_R3,5,49,245,210,85.7,20250214-223218,reported
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R3,5,49,245,210,85.7,20250214-193756,alternate_retriever
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R3,5,49,245,210,85.7,20250214-223218,reported
i,gpt-4o-2024-11-20,powerscrewdriver,llm_refs_baseline,5,49,245,0,0.0,20250214-185024,reported
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_graph_refs_R1_R2,,,,,,,no_archived_runs
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_graph_refs_R2_R3,,,,,,,no_archived_runs
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R1,5,49,245,0,0.0,20250214-203713,alternate_retriever
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R1,5,49,245,0,0.0,20250214-232225,reported
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R1_R2,5,49,245,0,0.0,20250214-203713,alternate_retriever
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R1_R2,5,49,245,0,0.0,20250214-232225,reported
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R1_R2_R3,5,49,245,0,0.0,20250214-203713,alternate_retriever
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R1_R2_R3,5,49,245,0,0.0,20250214-232225,reported
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R1_R3,5,49,245,0,0.0,20250214-203713,alternate_retriever
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R1_R3,5,49,245,0,0.0,20250214-232225,reported
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R2,5,49,245,0,0.0,20250214-203713,alternate_retriever
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R2,5,49,245,0,0.0,20250214-232225,reported
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R2_R3,5,49,245,0,0.0,20250214-203713,alternate_retriever
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R2_R3,5,49,245,0,0.0,20250214-232225,reported
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R3,5,49,245,0,0.0,20250214-203713,alternate_retriever
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R3,5,49,245,0,0.0,20250214-232225,reported
i,llama3.3:70b-8k,powerscrewdriver,llm_refs_baseline,5,49,245,0,0.0,20250214-185803,reported
i,mixtral:8x22b-6k,powerscrewdriver,llm_rag_graph_refs_R1_R2,,,,,,,no_archived_runs
i,mixtral:8x22b-6k,powerscrewdriver,llm_rag_graph_refs_R2_R3,,,,,,,no_archived_runs
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1,5,49,245,0,0.0,20250214-200441,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1,5,49,245,0,0.0,20250214-224047,reported
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1,5,49,245,0,0.0,20250215-031248,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1,5,49,245,0,0.0,20250215-040544,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1,5,49,245,0,0.0,20250215-212121,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1,5,49,245,0,0.0,20250215-220550,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1,5,49,245,0,0.0,20250215-225418,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R2,5,49,245,0,0.0,20250214-200441,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R2,5,49,245,0,0.0,20250214-224047,reported
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R2,5,49,245,0,0.0,20250215-031248,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R2,5,49,245,0,0.0,20250215-040544,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R2,5,49,245,0,0.0,20250215-212121,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R2,5,49,245,0,0.0,20250215-220550,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R2,5,49,245,0,0.0,20250215-225418,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R2_R3,5,49,245,0,0.0,20250214-200441,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R2_R3,5,49,245,0,0.0,20250214-224047,reported
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R2_R3,5,49,245,0,0.0,20250215-031248,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R2_R3,5,49,245,0,0.0,20250215-040544,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R2_R3,5,49,245,0,0.0,20250215-212121,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R2_R3,5,49,245,0,0.0,20250215-220550,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R2_R3,5,49,245,0,0.0,20250215-225418,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R3,5,49,245,0,0.0,20250214-200441,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R3,5,49,245,0,0.0,20250214-224047,reported
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R3,5,49,245,210,85.7,20250215-031248,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R3,5,49,245,0,0.0,20250215-040544,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R3,5,49,245,0,0.0,20250215-212121,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R3,5,49,245,0,0.0,20250215-220550,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R3,5,49,245,0,0.0,20250215-225418,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R2,5,49,245,0,0.0,20250214-200441,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R2,5,49,245,0,0.0,20250214-224047,reported
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R2,5,49,245,0,0.0,20250215-031248,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R2,5,49,245,0,0.0,20250215-040544,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R2,5,49,245,0,0.0,20250215-212121,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R2,5,49,245,0,0.0,20250215-220550,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R2,5,49,245,0,0.0,20250215-225418,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R2_R3,5,49,245,0,0.0,20250214-200441,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R2_R3,5,49,245,0,0.0,20250214-224047,reported
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R2_R3,5,49,245,0,0.0,20250215-031248,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R2_R3,5,49,245,0,0.0,20250215-040544,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R2_R3,5,49,245,0,0.0,20250215-212121,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R2_R3,5,49,245,0,0.0,20250215-220550,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R2_R3,5,49,245,0,0.0,20250215-225418,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R3,5,49,245,0,0.0,20250214-200441,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R3,5,49,245,0,0.0,20250214-224047,reported
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R3,5,49,245,0,0.0,20250215-031248,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R3,5,49,245,0,0.0,20250215-040544,alternate_retriever
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R3,5,49,245,0,0.0,20250215-212121,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R3,5,49,245,0,0.0,20250215-220550,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R3,5,49,245,0,0.0,20250215-225418,alternate_embedding
i,mixtral:8x22b_6k,powerscrewdriver,llm_refs_baseline,5,49,245,0,0.0,20250214-185210,reported
ii,deepseek-r1:14b-5k,CubeSat,llm_rag_graph_refs_R1_R2,5,36,180,3,1.7,20250410-181720,reported
ii,deepseek-r1:14b-5k,CubeSat,llm_rag_graph_refs_R2_R3,5,36,180,3,1.7,20250410-181720,reported
ii,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R1,5,36,180,144,80.0,20250223-050053,superseded
ii,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R1,5,36,180,36,20.0,20250223-214131,reported
ii,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R1_R2,4,36,144,108,75.0,20250223-050053,superseded
ii,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R1_R2,5,36,180,0,0.0,20250223-214131,reported
ii,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R1_R2_R3,5,36,180,0,0.0,20250223-050053,superseded
ii,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R1_R2_R3,4,36,144,108,75.0,20250223-214131,reported
ii,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R1_R3,5,36,180,44,24.4,20250223-050053,superseded
ii,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R1_R3,5,36,180,36,20.0,20250223-214131,reported
ii,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R2,5,36,180,144,80.0,20250223-050053,superseded
ii,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R2,5,36,180,0,0.0,20250223-214131,reported
ii,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R2_R3,5,36,180,144,80.0,20250223-050053,superseded
ii,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R2_R3,5,36,180,0,0.0,20250223-214131,reported
ii,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R3,5,36,180,74,41.1,20250223-050053,superseded
ii,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R3,5,36,180,108,60.0,20250223-214131,reported
ii,deepseek-r1:14b-5k,CubeSat,llm_refs_baseline,5,36,180,0,0.0,20250222-210000,reported
ii,gpt-4-turbo-preview,CubeSat,llm_rag_graph_refs_R1_R2,5,36,180,0,0.0,20250410-191218,reported
ii,gpt-4-turbo-preview,CubeSat,llm_rag_graph_refs_R2_R3,5,36,180,0,0.0,20250410-191218,reported
ii,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R1,5,36,180,0,0.0,20250223-034829,superseded
ii,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R1,5,36,180,0,0.0,20250223-144833,reported
ii,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R1_R2,5,36,180,0,0.0,20250223-034829,superseded
ii,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R1_R2,5,36,180,0,0.0,20250223-144833,reported
ii,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R1_R2_R3,5,36,180,0,0.0,20250223-034829,superseded
ii,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R1_R2_R3,5,36,180,0,0.0,20250223-144833,reported
ii,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R1_R3,5,36,180,0,0.0,20250223-034829,superseded
ii,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R1_R3,5,36,180,0,0.0,20250223-144833,reported
ii,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R2,5,36,180,0,0.0,20250223-034829,superseded
ii,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R2,5,36,180,0,0.0,20250223-144833,reported
ii,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R2_R3,5,36,180,0,0.0,20250223-034829,superseded
ii,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R2_R3,5,36,180,0,0.0,20250223-144833,reported
ii,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R3,5,36,180,0,0.0,20250223-034829,superseded
ii,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R3,5,36,180,0,0.0,20250223-144833,reported
ii,gpt-4-turbo-preview,CubeSat,llm_refs_baseline,5,36,180,0,0.0,20250222-204906,reported
ii,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R1,5,36,180,150,83.3,20250223-035805,superseded
ii,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R1,5,36,180,0,0.0,20250223-145812,reported
ii,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R1_R2,5,36,180,0,0.0,20250223-035805,superseded
ii,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R1_R2,5,36,180,0,0.0,20250223-145812,reported
ii,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R1_R2_R3,5,36,180,0,0.0,20250223-035805,superseded
ii,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R1_R2_R3,5,36,180,0,0.0,20250223-145812,reported
ii,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R1_R3,5,36,180,150,83.3,20250223-035805,superseded
ii,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R1_R3,5,36,180,0,0.0,20250223-145812,reported
ii,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R2,5,36,180,150,83.3,20250223-035805,superseded
ii,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R2,5,36,180,0,0.0,20250223-145812,reported
ii,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R2_R3,5,36,180,150,83.3,20250223-035805,superseded
ii,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R2_R3,5,36,180,0,0.0,20250223-145812,reported
ii,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R3,5,36,180,150,83.3,20250223-035805,superseded
ii,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R3,5,36,180,0,0.0,20250223-145812,reported
ii,gpt-4o-2024-11-20,CubeSat,llm_refs_baseline,5,36,180,0,0.0,20250222-205055,reported
ii,llama3.3:70b-8k,CubeSat,llm_rag_graph_refs_R1_R2,5,36,180,0,0.0,20250410-184006,reported
ii,llama3.3:70b-8k,CubeSat,llm_rag_graph_refs_R2_R3,5,36,180,0,0.0,20250410-184006,reported
ii,llama3.3:70b-8k,CubeSat,llm_rag_refs_R1,5,36,180,0,0.0,20250223-044727,superseded
ii,llama3.3:70b-8k,CubeSat,llm_rag_refs_R1,5,36,180,0,0.0,20250223-175437,reported
ii,llama3.3:70b-8k,CubeSat,llm_rag_refs_R1_R2,4,36,144,0,0.0,20250223-044727,superseded
ii,llama3.3:70b-8k,CubeSat,llm_rag_refs_R1_R2,4,36,144,0,0.0,20250223-175437,reported
ii,llama3.3:70b-8k,CubeSat,llm_rag_refs_R1_R2_R3,4,36,144,0,0.0,20250223-044727,superseded
ii,llama3.3:70b-8k,CubeSat,llm_rag_refs_R1_R2_R3,4,36,144,0,0.0,20250223-175437,reported
ii,llama3.3:70b-8k,CubeSat,llm_rag_refs_R1_R3,5,36,180,0,0.0,20250223-044727,superseded
ii,llama3.3:70b-8k,CubeSat,llm_rag_refs_R1_R3,5,36,180,0,0.0,20250223-175437,reported
ii,llama3.3:70b-8k,CubeSat,llm_rag_refs_R2,4,36,144,0,0.0,20250223-044727,superseded
ii,llama3.3:70b-8k,CubeSat,llm_rag_refs_R2,4,36,144,0,0.0,20250223-175437,reported
ii,llama3.3:70b-8k,CubeSat,llm_rag_refs_R2_R3,4,36,144,0,0.0,20250223-044727,superseded
ii,llama3.3:70b-8k,CubeSat,llm_rag_refs_R2_R3,4,36,144,0,0.0,20250223-175437,reported
ii,llama3.3:70b-8k,CubeSat,llm_rag_refs_R3,5,36,180,0,0.0,20250223-044727,superseded
