task,model,domain,reference_combo,n_runs,cells_per_matrix,total_cells,unsure_count,unsure_pct
i,llama3.3:70b-8k,CubeSat,llm_rag_refs_R2_R3,5,36,180,0,0.0
i,llama3.3:70b-8k,CubeSat,llm_rag_refs_R3,5,36,180,0,0.0
i,llama3.3:70b-8k,CubeSat,llm_refs_baseline,5,36,180,0,0.0
i,mixtral:8x22b_6k,CubeSat,llm_rag_refs_R1,5,36,180,0,0.0
i,mixtral:8x22b_6k,CubeSat,llm_rag_refs_R1_R2,5,36,180,0,0.0
i,mixtral:8x22b_6k,CubeSat,llm_rag_refs_R1_R2_R3,5,36,180,0,0.0
i,mixtral:8x22b_6k,CubeSat,llm_rag_refs_R1_R3,5,36,180,0,0.0
i,mixtral:8x22b_6k,CubeSat,llm_rag_refs_R2,5,36,180,0,0.0
i,mixtral:8x22b_6k,CubeSat,llm_rag_refs_R2_R3,5,36,180,0,0.0
i,mixtral:8x22b_6k,CubeSat,llm_rag_refs_R3,5,36,180,0,0.0
i,mixtral:8x22b_6k,CubeSat,llm_refs_baseline,5,36,180,0,0.0
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R1,5,49,245,49,20.0
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R1_R2,5,49,245,49,20.0
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R1_R2_R3,5,49,245,49,20.0
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R1_R3,5,49,245,196,80.0
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R2,5,49,245,49,20.0
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R2_R3,5,49,245,98,40.0
i,deepseek-r1:14b-5k,powerscrewdriver,llm_rag_refs_R3,5,49,245,147,60.0
i,deepseek-r1:14b-5k,powerscrewdriver,llm_refs_baseline,5,49,245,0,0.0
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R1,5,49,245,0,0.0
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R1_R2,5,49,245,0,0.0
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R1_R2_R3,5,49,245,0,0.0
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R1_R3,5,49,245,0,0.0
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R2,5,49,245,0,0.0
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R2_R3,5,49,245,0,0.0
i,gpt-4-turbo-preview,powerscrewdriver,llm_rag_refs_R3,5,49,245,0,0.0
i,gpt-4-turbo-preview,powerscrewdriver,llm_refs_baseline,5,49,245,0,0.0
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R1,5,49,245,210,85.7
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R1_R2,5,49,245,210,85.7
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R1_R2_R3,5,49,245,210,85.7
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R1_R3,5,49,245,210,85.7
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R2,5,49,245,210,85.7
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R2_R3,5,49,245,210,85.7
i,gpt-4o-2024-11-20,powerscrewdriver,llm_rag_refs_R3,5,49,245,210,85.7
i,gpt-4o-2024-11-20,powerscrewdriver,llm_refs_baseline,5,49,245,0,0.0
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R1,5,49,245,0,0.0
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R1_R2,5,49,245,0,0.0
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R1_R2_R3,5,49,245,0,0.0
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R1_R3,5,49,245,0,0.0
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R2,5,49,245,0,0.0
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R2_R3,5,49,245,0,0.0
i,llama3.3:70b-8k,powerscrewdriver,llm_rag_refs_R3,5,49,245,0,0.0
i,llama3.3:70b-8k,powerscrewdriver,llm_refs_baseline,5,49,245,0,0.0
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1,5,49,245,0,0.0
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R2,5,49,245,0,0.0
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R2_R3,5,49,245,0,0.0
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R1_R3,5,49,245,0,0.0
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R2,5,49,245,0,0.0
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R2_R3,5,49,245,0,0.0
i,mixtral:8x22b_6k,powerscrewdriver,llm_rag_refs_R3,5,49,245,0,0.0
i,mixtral:8x22b_6k,powerscrewdriver,llm_refs_baseline,5,49,245,0,0.0
