task,use_case,model,configuration,matrix,n_runs,unsure_cells,total_cells,unsure_pct,reported_in_main_tables,accuracy_excluded_mean,accuracy_excluded_std,accuracy_absent_mean,accuracy_absent_std,accuracy_incorrect_mean,accuracy_incorrect_std,f1_excluded_mean,f1_excluded_std,f1_absent_mean,f1_absent_std,f1_incorrect_mean,f1_incorrect_std
i,powerscrewdriver,deepseek-r1:14b,RAG R1,raw,5,49,245,20.0,yes,0.5592,0.2899,0.6245,0.1676,0.5592,0.2899,0.6063,0.3139,0.6063,0.3139,0.6063,0.3139
i,powerscrewdriver,deepseek-r1:14b,RAG R2,raw,5,49,245,20.0,yes,0.5388,0.2731,0.6041,0.1458,0.5388,0.2731,0.5838,0.295,0.5838,0.295,0.5838,0.295
i,powerscrewdriver,deepseek-r1:14b,RAG R3,raw,5,147,245,60.0,no,0.2857,0.3509,0.4816,0.1917,0.2857,0.3509,0.312,0.3829,0.312,0.3829,0.312,0.3829
i,powerscrewdriver,deepseek-r1:14b,RAG R1-R2,raw,5,49,245,20.0,yes,0.5265,0.2656,0.5918,0.1372,0.5265,0.2656,0.605,0.3037,0.605,0.3037,0.605,0.3037
i,powerscrewdriver,deepseek-r1:14b,RAG R1-R3,raw,5,196,245,80.0,no,0.1347,0.2694,0.3959,0.1388,0.1347,0.2694,0.1484,0.2968,0.1484,0.2968,0.1484,0.2968
i,powerscrewdriver,deepseek-r1:14b,RAG R2-R3,raw,5,98,245,40.0,no,0.4286,0.3506,0.5592,0.1913,0.4286,0.3506,0.468,0.3828,0.468,0.3828,0.468,0.3828
i,powerscrewdriver,deepseek-r1:14b,RAG R1-R2-R3,raw,5,49,245,20.0,yes,0.5673,0.2838,0.6327,0.1533,0.5673,0.2838,0.6146,0.3077,0.6146,0.3077,0.6146,0.3077
ii,CubeSat,mixtral:8x22b,RAG R1-R3,raw,5,23,180,12.78,yes,0.612,0.0017,0.5944,0.0333,0.5333,0.1556,0.745,0.0085,0.6896,0.1024,0.6653,0.1508
ii,CubeSat,mixtral:8x22b,RAG R1-R3,aligned,5,23,180,12.78,yes,0.612,0.0017,0.5944,0.0333,0.5333,0.1556,0.745,0.0085,0.6896,0.1024,0.6653,0.1508
ii,CubeSat,deepseek-r1:14b,RAG R1,raw,5,36,180,20.0,yes,0.4444,0.2222,0.5333,0.0444,0.4444,0.2222,0.5714,0.2857,0.5714,0.2857,0.5714,0.2857
ii,CubeSat,deepseek-r1:14b,RAG R1,aligned,5,36,180,20.0,yes,0.4444,0.2222,0.5333,0.0444,0.4444,0.2222,0.5714,0.2857,0.5714,0.2857,0.5714,0.2857
ii,CubeSat,deepseek-r1:14b,RAG R3,raw,5,108,180,60.0,no,0.2444,0.2999,0.5111,0.0835,0.2444,0.2999,0.2721,0.3334,0.2721,0.3334,0.2721,0.3334
ii,CubeSat,deepseek-r1:14b,RAG R3,aligned,5,48,80,60.0,no,0.2875,0.3527,0.4375,0.2305,0.2875,0.3527,0.314,0.3858,0.314,0.3858,0.314,0.3858
ii,CubeSat,deepseek-r1:14b,RAG R1-R3,raw,5,36,180,20.0,yes,0.4444,0.2222,0.5333,0.0444,0.4444,0.2222,0.5714,0.2857,0.5714,0.2857,0.5714,0.2857
ii,CubeSat,deepseek-r1:14b,RAG R1-R3,aligned,5,36,180,20.0,yes,0.4444,0.2222,0.5333,0.0444,0.4444,0.2222,0.5714,0.2857,0.5714,0.2857,0.5714,0.2857
ii,CubeSat,deepseek-r1:14b,RAG R1-R2-R3,raw,4,108,144,75.0,no,0.1528,0.2646,0.4861,0.0722,0.1528,0.2646,0.1852,0.3208,0.1852,0.3208,0.1852,0.3208
ii,CubeSat,deepseek-r1:14b,RAG R1-R2-R3,aligned,4,75,100,75.0,no,0.17,0.2944,0.47,0.1212,0.17,0.2944,0.1974,0.3419,0.1974,0.3419,0.1974,0.3419
ii,CubeSat,deepseek-r1:14b,GraphRAG R1-R2,raw,5,3,180,1.67,yes,0.5869,0.1096,0.5944,0.1077,0.5778,0.1144,0.6927,0.1238,0.6927,0.1238,0.6849,0.124
ii,CubeSat,deepseek-r1:14b,GraphRAG R1-R2,aligned,5,3,180,1.67,yes,0.5091,0.088,0.5167,0.0923,0.5,0.0861,0.6366,0.1184,0.6366,0.1184,0.6287,0.1148
ii,CubeSat,deepseek-r1:14b,GraphRAG R2-R3,raw,5,3,180,1.67,yes,0.5869,0.1096,0.5944,0.1077,0.5778,0.1144,0.6927,0.1238,0.6927,0.1238,0.6849,0.124
ii,CubeSat,deepseek-r1:14b,GraphRAG R2-R3,aligned,5,3,180,1.67,yes,0.5091,0.088,0.5167,0.0923,0.5,0.0861,0.6366,0.1184,0.6366,0.1184,0.6287,0.1148
ii,powerscrewdriver,gpt4o,RAG R1,raw,5,210,245,85.71,no,1.0,0.0,0.4694,0.0,0.1429,0.0,1.0,0.0,0.35,0.0,0.25,0.0
ii,powerscrewdriver,gpt4o,RAG R2,raw,5,210,245,85.71,no,1.0,0.0,0.4694,0.0,0.1429,0.0,1.0,0.0,0.35,0.0,0.25,0.0
ii,powerscrewdriver,gpt4o,RAG R3,raw,5,210,245,85.71,no,1.0,0.0,0.4694,0.0,0.1429,0.0,1.0,0.0,0.35,0.0,0.25,0.0
ii,powerscrewdriver,gpt4o,RAG R1-R2,raw,5,210,245,85.71,no,1.0,0.0,0.4694,0.0,0.1429,0.0,1.0,0.0,0.35,0.0,0.25,0.0
ii,powerscrewdriver,gpt4o,RAG R1-R3,raw,5,210,245,85.71,no,1.0,0.0,0.4694,0.0,0.1429,0.0,1.0,0.0,0.35,0.0,0.25,0.0
ii,powerscrewdriver,gpt4o,RAG R2-R3,raw,5,210,245,85.71,no,1.0,0.0,0.4694,0.0,0.1429,0.0,1.0,0.0,0.35,0.0,0.25,0.0
ii,powerscrewdriver,gpt4o,RAG R1-R2-R3,raw,5,210,245,85.71,no,1.0,0.0,0.4694,0.0,0.1429,0.0,1.0,0.0,0.35,0.0,0.25,0.0
ii,powerscrewdriver,llama3.3:70b,RAG R3,raw,5,210,245,85.71,no,1.0,0.0,0.4694,0.0,0.1429,0.0,1.0,0.0,0.35,0.0,0.25,0.0
ii,powerscrewdriver,llama3.3:70b,RAG R3,aligned,5,150,180,83.33,no,1.0,0.0,0.5556,0.0,0.1667,0.0,1.0,0.0,0.4286,0.0,0.2857,0.0
ii,powerscrewdriver,deepseek-r1:14b,RAG R2,raw,5,98,245,40.0,no,0.3918,0.3202,0.5224,0.1605,0.3918,0.3202,0.4392,0.3591,0.4392,0.3591,0.4392,0.3591
ii,powerscrewdriver,deepseek-r1:14b,RAG R2,aligned,5,72,180,40.0,no,0.4778,0.3906,0.6333,0.2006,0.4778,0.3906,0.5063,0.4139,0.5063,0.4139,0.5063,0.4139
ii,powerscrewdriver,deepseek-r1:14b,RAG R1-R3,raw,5,6,245,2.45,yes,0.5729,0.0168,0.5673,0.0238,0.5592,0.0379,0.6523,0.0208,0.6432,0.0308,0.6392,0.0373
ii,powerscrewdriver,deepseek-r1:14b,RAG R1-R3,aligned,5,4,125,3.2,yes,0.8194,0.0502,0.824,0.0543,0.792,0.0588,0.857,0.0379,0.857,0.0379,0.8352,0.0401
ii,powerscrewdriver,deepseek-r1:14b,GraphRAG R2-R3,raw,5,245,245,100.0,no,0.0,0.0,0.3265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ii,powerscrewdriver,deepseek-r1:14b,GraphRAG R2-R3,aligned,5,180,180,100.0,no,0.0,0.0,0.3889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
